arm,case_id,source_library,target_library,recorded_status,returncode,timed_out,first_passing_cycle,saved_cycles,saved_assessments
docs_enabled,abinthomasonline@repopack-py__dc2b9243__chardet__cchardet,chardet,cchardet,failed,2,False,,1,0
docs_enabled,abinthomasonline@repopack-py__dc2b9243__chardet__charset-normalizer,chardet,charset-normalizer,success,0,False,1,1,1
docs_enabled,abinthomasonline@repopack-py__dc2b9243__colorama__rich,colorama,rich,success,0,False,1,1,1
docs_enabled,alexferl@vyper__a0a6ea7f__toml__tomlkit,toml,tomlkit,failed,0,False,,21,21
docs_enabled,alpden550@encrypt-decrypt-fields__a0029320__sqlalchemy__sqlobject,sqlalchemy,sqlobject,success,0,False,2,2,2
docs_enabled,alpden550@encrypt-decrypt-fields__a0029320__sqlalchemy__tortoise-orm,sqlalchemy,tortoise-orm,success,0,False,1,1,1
docs_enabled,andreax79@python-securid__ca333b8c__cryptography__pycryptodome,cryptography,pycryptodome,success,0,False,1,1,1
docs_enabled,andreroggeri@pynubank__3a35d906__colorama__termcolor,colorama,termcolor,success,0,False,1,1,1
docs_enabled,andreroggeri@pynubank__3a35d906__requests__treq,requests,treq,success,0,False,2,2,2
docs_enabled,ankane@mapkick.py__7d625d80__flask__bottle,flask,bottle,success,0,False,2,2,2
docs_enabled,ankane@mapkick.py__7d625d80__flask__cherrypy,flask,cherrypy,success,0,False,1,1,1
docs_enabled,ankane@mapkick.py__7d625d80__flask__fastapi,flask,fastapi,success,0,False,1,1,1
docs_enabled,ankane@mapkick.py__7d625d80__flask__sanic,flask,sanic,success,0,False,1,1,1
docs_enabled,ankane@mapkick.py__7d625d80__flask__tornado,flask,tornado,success,0,False,1,1,1
docs_enabled,apple@app-store-server-library-python__1202058d__httpx__aiohttp,httpx,aiohttp,success,0,False,2,2,2
docs_enabled,apple@app-store-server-library-python__1202058d__httpx__requests,httpx,requests,success,0,False,1,1,1
docs_enabled,apple@app-store-server-library-python__1202058d__httpx__urllib3,httpx,urllib3,failed,0,False,,21,21
docs_enabled,astelmach01@tinylang__7ea9f90f__python-dotenv__dynaconf,python-dotenv,dynaconf,success,0,False,1,1,1
docs_enabled,avast@ep-stats__95f8d93e__fastapi__sanic,fastapi,sanic,failed,0,False,,21,21
docs_enabled,beancount@beanquery__51ad2619__click__plac,click,plac,failed,0,False,,3,3
docs_enabled,bellshade@openseries__59b7a6d7__colorama__termcolor,colorama,termcolor,success,0,False,1,1,1
docs_enabled,blackrock@ingen__a6977a33__aiohttp__httpx,aiohttp,httpx,success,0,False,2,2,2
docs_enabled,blingenf@copydetect__ba072818__jinja2__mako,jinja2,mako,success,0,False,2,2,2
docs_enabled,blingenf@copydetect__ba072818__pygments__rich,pygments,rich,success,0,False,2,2,2
docs_enabled,blingenf@copydetect__ba072818__tqdm__progressbar2,tqdm,progressbar2,success,0,False,1,1,1
docs_enabled,blockchain-technology-lab@consensus-decentralization__f6dbfbbf__matplotlib__plotly,matplotlib,plotly,success,0,False,1,1,1
docs_enabled,blurstudio@hab__177503df__pygments__rich,pygments,rich,success,0,False,1,1,1
docs_enabled,bormando@selenium-tools__52667925__urllib3__aiohttp,urllib3,aiohttp,success,0,False,1,1,1
docs_enabled,bormando@selenium-tools__52667925__urllib3__httpx,urllib3,httpx,success,0,False,4,4,4
docs_enabled,capitalone@edgetest__dfc8b73c__click__plac,click,plac,success,0,False,3,3,3
docs_enabled,capitalone@edgetest__dfc8b73c__click__typer,click,typer,success,0,False,2,2,2
docs_enabled,capitalone@edgetest__dfc8b73c__tabulate__prettytable,tabulate,prettytable,success,0,False,4,4,4
docs_enabled,capitalone@edgetest__dfc8b73c__tabulate__rich,tabulate,rich,success,0,False,5,5,5
docs_enabled,chrispappalardo@eparse__6f799d21__click__typer,click,typer,success,0,False,4,4,4
docs_enabled,cmccomb@trussme__0c7316cf__matplotlib__plotly,matplotlib,plotly,success,0,False,21,21,21
docs_enabled,cordada@lib-cl-sii-python__d750fe31__jsonschema__cerberus,jsonschema,cerberus,success,0,False,1,1,1
docs_enabled,cskorpion@vmprof-firefox-converter__e1f6bb79__flask__bottle,flask,bottle,success,0,False,1,1,1
docs_enabled,cskorpion@vmprof-firefox-converter__e1f6bb79__flask__cherrypy,flask,cherrypy,success,0,False,2,2,2
docs_enabled,cskorpion@vmprof-firefox-converter__e1f6bb79__flask__fastapi,flask,fastapi,success,0,False,1,1,1
docs_enabled,cskorpion@vmprof-firefox-converter__e1f6bb79__flask__sanic,flask,sanic,success,0,False,5,5,5
docs_enabled,cskorpion@vmprof-firefox-converter__e1f6bb79__flask__tornado,flask,tornado,success,0,False,1,1,1
docs_enabled,d-rickyy-b@pastepwn__cde6e968__requests__httpx,requests,httpx,success,0,False,2,2,2
docs_enabled,dave-howard@vsdx__ca31a2c9__jinja2__mako,jinja2,mako,success,0,False,2,2,2
docs_enabled,david96182@ninjemail__2a52a8cc__toml__tomlkit,toml,tomlkit,success,0,False,1,1,1
docs_enabled,dell@python-powerflex__d590af9d__requests__urllib3,requests,urllib3,success,0,False,1,1,1
docs_enabled,dknowles2@pyschlage__5c48dcd0__requests__pycurl,requests,pycurl,success,0,False,2,2,2
docs_enabled,dmtf@redfish-protocol-validator__e2f28669__colorama__rich,colorama,rich,success,0,False,4,4,4
docs_enabled,duo-labs@py_webauthn__42537f58__cryptography__pycryptodome,cryptography,pycryptodome,failed,0,False,,21,21
docs_enabled,dwave-examples@3d-bin-packing__abb0ebd3__tabulate__rich,tabulate,rich,success,0,False,6,6,6
docs_enabled,electronic-mango@simple-justwatch-python-api__5524c491__httpx__aiohttp,httpx,aiohttp,success,0,False,3,3,3
docs_enabled,electronic-mango@simple-justwatch-python-api__5524c491__httpx__requests,httpx,requests,success,0,False,2,2,2
docs_enabled,evanp@ap__90969daf__tabulate__prettytable,tabulate,prettytable,success,0,False,1,1,1
docs_enabled,eyeseast@python-frontmatter__025a94c2__toml__tomlkit,toml,tomlkit,success,0,False,1,1,1
docs_enabled,fidelity@selective__7e07abc8__seaborn__altair,seaborn,altair,timeout,-15,True,,1,0
docs_enabled,fidelity@selective__7e07abc8__seaborn__plotly,seaborn,plotly,timeout,-15,True,,1,0
docs_enabled,ful1e5@clickgen__ce70d07a__toml__tomli,toml,tomli,success,0,False,1,1,1
docs_enabled,getpatchwork@git-pw__02c38bef__tabulate__prettytable,tabulate,prettytable,success,0,False,3,3,3
docs_enabled,getpatchwork@git-pw__02c38bef__tabulate__rich,tabulate,rich,success,0,False,2,2,2
docs_enabled,git-shogg@finsec__e64e34a9__beautifulsoup4__pyquery,beautifulsoup4,pyquery,failed,0,False,,21,21
docs_enabled,git-shogg@finsec__e64e34a9__requests__httpx,requests,httpx,success,0,False,1,1,1
docs_enabled,github@automatic-contrib-prs__3c357a2e__python-dotenv__dynaconf,python-dotenv,dynaconf,success,0,False,1,1,1
docs_enabled,github@contributors__107543a7__python-dotenv__environs,python-dotenv,environs,success,0,False,1,1,1
docs_enabled,github@issue-metrics__44877577__python-dotenv__dynaconf,python-dotenv,dynaconf,success,0,False,1,1,1
docs_enabled,github@issue-metrics__44877577__python-dotenv__environs,python-dotenv,environs,success,0,False,1,1,1
